"decimalLon","decimalLat","bio6","bio14","cmi_max"
-68.429166767798,-21.043035530518,2672,31,-135
-67.84526183312,-19.515899547514,2712,11,-140
-68.29441947518,-19.650646840132,2700,14,-354
-65.59947362282,-19.201489198072,2734,34,537
-65.868968208056,-20.414214831634,2710,12,576
-68.024924889944,-20.953204002106,2683,17,-92
-65.59947362282,-21.222698587342,2719,11,437
-66.407957378528,-21.043035530518,2698,9,417
-65.958799736468,-19.291320726484,2666,23,809
-67.306272662648,-19.021826141248,2693,25,701
-68.114756418356,-18.88707884863,2685,16,317
-65.689305151232,-21.043035530518,2732,10,319
-67.575767247884,-19.56081531172,2698,16,408
-68.429166767798,-20.9082882379,2649,32,111
-65.868968208056,-21.177782823136,2696,9,842
-68.204587946768,-19.201489198072,2707,11,-491
-66.767283492176,-18.707415791806,2731,46,1906
-66.363041614322,-19.78539413275,2687,16,1001
-69.462229344536,-19.11165766966,2736,14,272
-66.542704671146,-20.45913059584,2713,11,91
-67.306272662648,-19.650646840132,2688,18,226
-67.755430304708,-19.515899547514,2710,15,245
-67.530851483678,-20.863372473694,2675,8,-572
-66.318125850116,-19.021826141248,2659,37,1507
-68.653745588828,-18.797247320218,2683,23,582
-69.147818995094,-19.470983783308,2700,24,483
-66.04863126488,-20.414214831634,2704,13,446
-68.024924889944,-19.11165766966,2688,13,1
-67.665598776296,-20.728625181076,2672,10,-295
-66.49778890694,-20.68370941687,2707,12,329
-67.261356898442,-19.066741905454,2692,25,700
-66.228294321704,-20.45913059584,2703,11,448
-66.04863126488,-20.863372473694,2699,9,545
-67.935093361532,-21.267614351548,2657,20,91
-66.49778890694,-20.279467539016,2699,12,277
-68.74357711724,-19.605731075926,2683,22,-73
-67.755430304708,-20.593877888458,2674,10,-435
-66.767283492176,-20.279467539016,2695,22,1025
-67.890177597326,-19.830309896956,2706,10,-512
-65.464726330202,-21.222698587342,2691,21,957
-67.890177597326,-20.414214831634,2674,8,-657
-67.62068301209,-20.099804482192,2677,7,-696
-69.282566287712,-18.931994612836,2723,25,377
-68.204587946768,-19.650646840132,2702,12,-393
-68.429166767798,-19.830309896956,2692,18,-245
-66.183378557498,-19.156573433866,2691,18,98
-66.767283492176,-20.593877888458,2699,9,-196
-69.1927347593,-18.88707884863,2696,30,601
-67.935093361532,-20.054888717986,2679,8,-769
-66.49778890694,-20.414214831634,2711,12,183
-65.464726330202,-21.087951294724,2696,22,915
-68.788492881446,-18.797247320218,2675,23,434
-67.575767247884,-20.863372473694,2678,8,-576
-67.036778077412,-19.156573433866,2723,22,764
-67.126609605824,-19.965057189574,2694,15,2
-66.812199256382,-20.144720246398,2702,24,1371
-68.833408645652,-18.707415791806,2699,19,-131
-69.013071702476,-18.707415791806,2674,28,475
-67.710514540502,-20.68370941687,2669,11,-244
-67.530851483678,-19.515899547514,2696,15,161
-68.563914060416,-19.695562604338,2685,20,-140
-68.96815593827,-18.6625000276,2695,24,86
-66.318125850116,-19.33623649069,2671,21,1243
-65.329979037584,-19.78539413275,2739,24,-109
-65.913883972262,-18.976910377042,2689,39,1029
-67.441019955266,-21.222698587342,2656,8,145
-68.474082532004,-18.842163084424,2702,16,25
-69.013071702476,-20.863372473694,2758,15,-392
-66.946946549,-19.11165766966,2742,22,904
-67.800346068914,-19.830309896956,2707,13,-224
-67.216441134236,-20.773540945282,2674,7,-460
-68.923240174064,-18.797247320218,2679,29,508
-68.608829824622,-20.279467539016,2690,27,-300
-69.147818995094,-18.617584263394,2692,26,74
-67.665598776296,-19.56081531172,2664,20,1123
-68.429166767798,-18.842163084424,2700,16,19
-69.102903230888,-18.617584263394,2686,27,170
-67.441019955266,-21.35744587996,2666,7,-321
-67.62068301209,-19.965057189574,2687,10,-436
-66.04863126488,-18.931994612836,2709,28,670
-67.485935719472,-19.201489198072,2683,20,642
-68.788492881446,-21.087951294724,2697,37,-27
-67.755430304708,-21.177782823136,2676,13,-76
-66.003715500674,-20.054888717986,2687,17,542
-65.060484452348,-20.45913059584,2761,28,214
-67.441019955266,-19.56081531172,2691,17,246
-68.159672182562,-19.11165766966,2697,12,-242
-67.39610419106,-18.842163084424,2698,24,533
-66.138462793292,-18.6625000276,2726,36,488
-66.138462793292,-19.246404962278,2688,16,17
-66.138462793292,-19.605731075926,2667,20,1235
-66.452873142734,-21.043035530518,2699,10,625
-66.452873142734,-20.728625181076,2699,12,580
-69.147818995094,-19.515899547514,2701,22,450
-66.04863126488,-20.504046360046,2723,9,-191
-66.587620435352,-21.35744587996,2694,9,678
-65.419810565996,-20.773540945282,2748,13,-41
-66.587620435352,-18.707415791806,2702,39,1377
-66.318125850116,-19.740478368544,2671,19,1235
-65.285063273378,-19.605731075926,2730,29,189
-65.82405244385,-21.492193172578,2716,6,741
-68.788492881446,-20.773540945282,2686,28,-163
-67.39610419106,-20.189636010604,2668,6,-716
-67.485935719472,-18.572668499188,2695,31,747
-68.653745588828,-20.728625181076,2705,21,-575
-66.407957378528,-20.369299067428,2689,16,713
-66.677451963764,-20.324383303222,2694,17,879
